Stock Index,Stock Price
AC3235,787.132432151996
AC3236,238.30823753512368
AC3237,1502.2685656079561
AC3238,812.2435370331199
AC3239,282.50853503238176
AC3240,363.5081577951062
AC3241,675.5833615146405
AC3242,828.2903904115385
AC3243,866.7594036084422
AC3244,1302.1382365322538
AC3245,344.7231048185648
AC3246,392.53127044035875
AC3247,591.6592292619576
AC3248,398.42039022521806
AC3249,409.8784370323642
AC3250,363.73006133815693
AC3251,1558.258381696773
AC3252,167.37231828452462
AC3253,297.82018922824955
AC3254,217.78275870431054
AC3255,1008.7246311773372
AC3256,844.8179665374175
AC3257,1400.486444604805
AC3258,503.93873233218534
AC3259,280.04430204707506
AC3260,315.4114570377219
AC3261,143.82220444595526
AC3262,231.19239875637965
AC3263,392.16411003594123
AC3264,121.84308277635466
AC3265,983.8139718783127
AC3266,851.3239757751871
AC3267,521.6991640674352
AC3268,773.1253878490912
AC3269,422.21176338491864
AC3270,798.5684085634277
AC3271,99.79222313448452
AC3272,255.97344673303445
AC3273,482.1644571724647
AC3274,428.8333614844164
AC3275,407.3221123727228
AC3276,475.3667490009664
AC3277,552.1046462019049
AC3278,450.04617880141495
AC3279,233.88975555941164
AC3280,255.64200628667845
AC3281,892.3893603379986
AC3282,114.04115050470017
AC3283,764.0208319768943
AC3284,698.6913594398302
AC3285,131.06144268444825
AC3286,883.3720610034904
AC3287,225.13897703174376
AC3288,198.366860726507
AC3289,217.11460699133664
AC3290,261.095566432393
AC3291,201.54436957440794
AC3292,135.25782857630423
AC3293,470.55991652330965
AC3294,232.24588730484413
AC3295,578.9764880310832
AC3296,108.21483159064195
AC3297,592.5773485105659
AC3298,764.9107890774319
AC3299,153.79579367351124
AC3300,111.00974661365865
AC3301,796.2465787841744
AC3302,199.69452359567572
AC3303,1243.4930025792842
AC3304,87.90531733697827
AC3305,269.31541143409794
AC3306,206.10127846860274
AC3307,101.19242289658632
AC3308,210.45618523376038
AC3309,292.33814127893953
AC3310,791.0931595879009
AC3311,1079.673896031334
AC3312,885.5041018633381
AC3313,120.29220896176201
AC3314,108.59378012686841
AC3315,134.60348307182215
AC3316,411.11843780662485
AC3317,924.8206275329177
AC3318,547.7344303066528
AC3319,1279.5517821303984
AC3320,134.09273444478737
AC3321,133.23027575970735
AC3322,159.83766595206373
AC3323,884.6886573322015
AC3324,97.7641938548175
AC3325,283.41557066981363
AC3326,372.04457374377836
AC3327,101.3007617711873
AC3328,160.11489091959908
AC3329,717.2901557043475
AC3330,884.5109784354694
AC3331,299.42892878777565
AC3332,722.6404024265944
AC3333,1391.3740782802197
AC3334,342.35874533175354
AC3335,630.0367267293925
AC3336,163.58229696678677
AC3337,607.2518554563364
AC3338,1606.1704290744678
AC3339,858.5019365377192
AC3340,106.24113310343074
AC3341,1207.010155292077
AC3342,1187.9904727547728
AC3343,275.18115020220705
AC3344,118.9730928646598
AC3345,240.8645662150882
AC3346,88.6942302580959
AC3347,288.16391213867684
AC3348,680.2497719706912
AC3349,478.9515892376054
AC3350,401.8547032269323
AC3351,737.9975191211979
AC3352,237.40597793781507
AC3353,441.25304936047326
AC3354,361.24318323262605
AC3355,613.0927848539621
AC3356,332.4812988867568
AC3357,621.4435583146909
AC3358,1553.1381942729297
AC3359,1280.247439914011
AC3360,1135.540215066913
AC3361,246.44723656761045
AC3362,354.62493498492506
AC3363,468.1496079007285
AC3364,346.6486053651678
AC3365,120.45182845898148
AC3366,344.9915589445666
AC3367,278.88061566938524
AC3368,773.3910023262002
AC3369,329.1571429401212
AC3370,569.7500384741398
AC3371,377.2257564688454
AC3372,507.0617290896622
AC3373,253.26287390388228
AC3374,355.6986091196294
AC3375,1053.0519311581322
AC3376,417.4110668319886
AC3377,209.29868513640707
AC3378,381.9637647467738
AC3379,623.9719064922296
AC3380,176.6852622422271
AC3381,416.5799737416269
AC3382,631.2174796503044
AC3383,155.9941928074221
AC3384,217.64983167270384
AC3385,264.23062259605433
AC3386,164.21362717686117
AC3387,285.44742570101675
AC3388,1560.563696218506
AC3389,266.5513937275242
AC3390,244.89470683664723
AC3391,783.4353131538408
AC3392,590.858210376072
AC3393,460.7881041616368
AC3394,477.0676883377628
AC3395,1436.703783653436
AC3396,101.07979416632583
AC3397,692.3533285449282
AC3398,418.49641732568125
AC3399,109.88990339779127
AC3400,216.73166486478357
AC3401,195.14730983013862
AC3402,481.2775477388129
AC3403,316.8956446977851
AC3404,155.93658070012333
AC3405,161.00054062805316
AC3406,328.8832485966792
AC3407,256.86124552250715
AC3408,672.185355069831
AC3409,1143.902929858581
AC3410,842.7807688008992
AC3411,978.0895287949987
AC3412,1378.6933883429665
AC3413,232.34260755596137
AC3414,338.5610458568859
AC3415,248.45431425374596
AC3416,570.030061138351
AC3417,844.2247974559035
AC3418,210.36052862323788
AC3419,1249.4271120102958
AC3420,257.6297905743016
AC3421,231.37458751106698
AC3422,812.9294926100629
AC3423,154.44502239070852
AC3424,1079.9097037384392
AC3425,255.106083971276
AC3426,114.01205722648979
AC3427,376.96723612078733
AC3428,775.821447253182
AC3429,727.443203816496
AC3430,336.81397058401075
AC3431,493.0427504029954
AC3432,461.627255564291
AC3433,233.25213884234074
AC3434,846.9204826236928
AC3435,1089.1888333748998
AC3436,455.3954221942931
AC3437,254.35493443871286
AC3438,1457.7758351024906
AC3439,173.35526671619385
AC3440,1176.7834619846938
AC3441,414.67653479717137
AC3442,98.19130471797274
AC3443,631.8139612091288
AC3444,158.47554595515817
AC3445,191.72594046296325
AC3446,773.6104659499802
AC3447,929.8744857386744
AC3448,165.73996099089265
AC3449,1069.8186146431453
AC3450,207.49131030191455
AC3451,1066.001437536024
AC3452,707.8455268718731
AC3453,606.6081689410858
AC3454,150.82603415118598
AC3455,688.7651373395325
AC3456,179.2928667059378
AC3457,617.7000837602324
AC3458,726.0229541146956
AC3459,1629.4945145877145
AC3460,527.9346736015024
AC3461,552.618757004182
AC3462,494.03346802011856
AC3463,1281.8353886113737
AC3464,278.4959402274306
AC3465,571.5782774101272
AC3466,200.55065945521682
AC3467,165.55745958294875
AC3468,1354.1550712175958
AC3469,321.63227285239304
AC3470,387.3168600168076
AC3471,685.512418444328
AC3472,239.58263336436698
AC3473,435.012664506458
AC3474,444.09402147101673
AC3475,100.86476964095232
AC3476,546.3406781675579
AC3477,823.394275996337
AC3478,210.47618228335807
AC3479,217.6469906118774
AC3480,194.6633421300706
AC3481,1109.8874925407804
AC3482,379.3104352197114
AC3483,1070.4958714091636
AC3484,946.9063563606819
AC3485,798.8328196242524
AC3486,112.96784706050607
AC3487,227.53026079083537
